T_Return,SP_Return,T_Saturation,T_Outdoor,RH_Supply,RH_Return,RH_Outdoor,Energy,Power,overheat_flag
19.365,18.5,19.02,15.3,67.919998,55.469997,82.0,0.0,0.0,0
19.305,18.5,19.0,15.3,67.75,55.619999,88.0,0.0,0.0,0
19.244999,18.5,18.98,15.3,67.720001,55.689999,94.0,0.0,0.0,0
19.23,18.5,18.959999,15.3,67.709999,55.860001,94.0,0.0,0.0,0
19.234999,18.5,18.92,15.3,67.93,56.0,94.0,0.0,0.0,0
19.145,18.5,18.92,15.3,68.049995,56.27,91.0,0.0,0.0,0
19.1,18.5,18.879999,15.3,68.260002,56.48,88.0,0.0,0.0,0
19.07,18.5,18.859999,15.3,68.510002,56.669998,88.0,0.0,0.0,0
19.029999,18.5,18.859999,14.3,68.559998,56.889999,88.0,0.0,0.0,0
18.99,18.5,18.82,14.3,68.639999,57.110001,85.0,0.0,0.0,0
18.969999,18.5,18.82,14.3,68.790001,57.25,82.0,0.0,0.0,0
18.92,18.5,18.799999,14.3,68.989998,57.419998,84.5,0.0,0.0,0
18.865,18.5,18.76,14.3,69.199997,57.579998,87.0,0.0,0.0,0
18.834999,18.5,18.74,14.3,69.419998,57.719997,87.5,0.0,0.0,0
18.799999,18.5,18.719999,14.3,69.659996,57.889999,88.0,0.0,0.0,0
18.744999,18.5,18.699999,14.3,69.879997,58.16,91.0,0.0,0.0,0
18.705,18.5,18.68,14.3,70.099998,58.289997,94.0,0.0,0.0,0
18.68,18.5,18.639999,14.3,70.199997,58.419998,91.0,0.0,0.0,0
18.639999,18.5,18.639999,14.3,70.029999,58.509998,88.0,0.0,0.0,0
18.59,18.5,18.6,14.3,69.900002,58.579998,88.0,0.0,0.0,0
21.324999,18.5,20.42,14.3,59.48,52.259998,88.0,5.0,3.0,1
21.344999,18.5,20.34,14.3,59.139999,52.049999,88.0,9.0,2.976,0
21.344999,18.5,20.26,14.3,59.109997,51.98,88.0,7.0,3.0,0
21.334999,18.5,20.26,14.3,59.0,51.93,85.0,7.0,2.94,0
21.299999,18.5,18.039999,15.3,63.73,51.93,82.0,7.0,2.928,0
21.205,18.5,17.16,15.3,65.0,52.029999,85.0,7.0,2.94,0
21.105,18.5,14.98,15.3,70.369995,52.09,88.0,8.0,2.928,0
20.99,18.5,15.04,15.3,71.040001,52.279999,88.0,8.0,2.94,0
20.885,18.5,13.799999,15.3,75.659996,52.360001,88.0,7.0,2.94,0
20.795,18.5,15.799999,15.3,69.360001,52.449997,88.0,7.0,2.892,0
20.824999,18.5,16.359999,15.3,67.389999,52.27,88.0,8.0,2.952,0
20.859999,18.5,16.18,15.3,67.07,52.09,82.5,7.0,2.904,0
20.859999,18.5,16.299999,15.3,66.82,51.98,77.0,7.0,2.916,0
20.859999,18.5,16.4,15.3,66.389999,51.959999,79.5,7.0,2.94,0
20.885,18.5,16.219999,16.299999,66.849998,51.889999,82.0,9.0,2.916,0
20.914999,18.5,16.5,16.299999,66.419998,51.799999,77.0,7.0,2.916,0
20.934999,18.5,16.4,17.299999,66.479996,51.77,72.0,7.0,2.964,0
21.025,18.5,16.619999,17.299999,66.18,51.860001,70.0,7.0,2.916,0
21.094999,18.5,16.5,18.299999,62.52,51.369999,68.0,10.0,5.232,0
21.094999,18.5,16.639999,18.299999,61.579998,50.879997,68.0,14.0,5.244,0
